"Row_ID","Panel","Study","Region_System","Target","Model_Method","Input_Data","Lead_Time","Metric","Metric_Percent","Additional_Metrics","Interpretation","Source_Table_or_Text","DOI_URL","Notes"
"A1","A. Detection and classification performance","Yao et al. 2023","West Florida Shelf","Karenia brevis bloom patches","VIIRS patch-wise deep-learning model","VIIRS SNPP Rrs/spatial context + FWC in situ K. brevis data","Near-real-time detection","F1 score",88.6,"Accuracy=81.1%; precision=83.0%; true-positive rate=95.1%; false-positive rate=66.7%; bloom-area R2=0.92; RMSE=31.5%","Patch-wise DL improved K. brevis patch extraction for near-real-time monitoring despite spatial heterogeneity.","Abstract; Table 1; Results section","https://doi.org/10.1016/j.rse.2023.113833","F1 score reported as 89% in abstract; table gives 88.6%."
"A2","A. Detection and classification performance","Fick et al. 2024","West Florida coast","Karenia brevis bloom/non-bloom classification","Central-pixel neural network + KNN in situ feature + depth normalization","MODIS-Aqua ocean color features + bathymetry + FWC in situ samples","Detection / monitoring","F1 score",67,"Accuracy=70.0% ± 2.0%; kappa=0.38 ± 0.05","Best ablation/comparison model outperformed existing remote detection methods under realistic binary bloom thresholds.","Tables 4 and 5","https://doi.org/10.1002/ieam.4908","Performance values are mean (SD) across 20 training/testing runs."
"A3","A. Detection and classification performance","Ahmed et al. 2025","Northern and eastern Gulf of Mexico","Hypoxic patch classification","XGBoost classifier","MODIS/remote-sensing products + field dissolved oxygen observations","Seasonal prediction / monitoring","F1 score",91.98,"Accuracy=91.64% ± 1.14%; precision=88.37% ± 1.18%; recall=95.90% ± 1.46%; AUC=96%","XGBoost showed high skill for classifying Gulf hypoxia and generating seasonal prediction maps.","Table 2; Fig. 5; Results section","https://doi.org/10.1016/j.rsma.2025.104363","Hypoxia is included as a monitoring/early-warning analogue linked to HAB and oxygen depletion dynamics, not a direct K. brevis health-effect model."
"A4","A. Detection and classification performance","Ahmed et al. 2025","Northern and eastern Gulf of Mexico","Hypoxic patch classification","Random Forest classifier","MODIS/remote-sensing products + field dissolved oxygen observations","Seasonal prediction / monitoring","F1 score",91.93,"Accuracy=91.60% ± 0.88%; precision=88.43% ± 0.95%; recall=95.74% ± 1.46%; AUC=96%","Random Forest performed similarly to XGBoost for Gulf hypoxia classification.","Table 2; Fig. 5; Results section","https://doi.org/10.1016/j.rsma.2025.104363","Use as broader Gulf monitoring evidence, not as a human-health effect estimate."
"B1","B. Forecasting, regression, and image-prediction performance","Karki et al. 2018","Charlotte County, southwest Florida","Karenia brevis HAB onset / cell-count category","Multivariate regression nowcasting model","MODIS Aqua ocean-color variables + bathymetry + distance to river mouth + FWC HAB observations","Same day","Prediction accuracy / success",90.5,"Validated against 20% of historical HAB events; three cell-count categories with spatial verification.","Same-day MODIS-based nowcasting had the highest success among the four Karki models.","Abstract; Results; Fig. 4","https://doi.org/10.3390/rs10101656","Reported as 90.5% in results text; abstract rounds to 90%."
"B2","B. Forecasting, regression, and image-prediction performance","Karki et al. 2018","Charlotte County, southwest Florida","Karenia brevis HAB onset / cell-count category","Multivariate regression forecasting model","MODIS Aqua ocean-color variables + bathymetry + distance to river mouth + FWC HAB observations","1 day ahead","Prediction accuracy / success",65.6,"Forecast model designed to capture HAB onset rather than ongoing blooms.","Short-term forecast skill decreased for 1-day advance prediction.","Abstract; Results; Fig. 4","https://doi.org/10.3390/rs10101656","Reported as 65.6% in results text; abstract rounds to 65%."
"B3","B. Forecasting, regression, and image-prediction performance","Karki et al. 2018","Charlotte County, southwest Florida","Karenia brevis HAB onset / cell-count category","Multivariate regression forecasting model","MODIS Aqua ocean-color variables + bathymetry + distance to river mouth + FWC HAB observations","2 days ahead","Prediction accuracy / success",72.1,"Forecast model designed to capture HAB onset rather than ongoing blooms.","Two-day advance forecast had higher success than one-day forecast.","Abstract; Results; Fig. 4","https://doi.org/10.3390/rs10101656","Reported as 72.1% in results text; abstract rounds to 72%."
"B4","B. Forecasting, regression, and image-prediction performance","Karki et al. 2018","Charlotte County, southwest Florida","Karenia brevis HAB onset / cell-count category","Multivariate regression forecasting model","MODIS Aqua ocean-color variables + bathymetry + distance to river mouth + FWC HAB observations","3 days ahead","Prediction accuracy / success",71.9,"Forecast model designed to capture HAB onset rather than ongoing blooms.","Three-day advance forecast retained ~72% classification success.","Abstract; Results; Fig. 4","https://doi.org/10.3390/rs10101656","Reported as 71.9% in results text; abstract rounds to 71%."
"B5","B. Forecasting, regression, and image-prediction performance","Yan et al. 2024","Biscayne Bay, Florida","Chlorophyll-a as HAB indicator","Extra Trees Regressor","Water-quality, physical, meteorological, climate, and land-use predictors; SHAP explainability","1 month lead","Test R2",47,"Training R2=0.92; test MAE=0.72; test MSE=1.54; test MAPE=0.58; test MedAE=0.37","The lead-time tree-based model had the highest test R2 among the reported 1-month lead prediction algorithms.","Abstract; Table 3; Results and Discussion","https://doi.org/10.1016/j.scitotenv.2023.169253","For conservative plotting, the test R2 from Table 3 is used; the abstract reports training/headline R2=0.92."
"B6","B. Forecasting, regression, and image-prediction performance","Yan et al. 2024","Biscayne Bay, Florida","Chlorophyll-a as HAB indicator","Random Forest Regressor","Water-quality, physical, meteorological, climate, and land-use predictors; SHAP explainability","Current month","Test R2",44,"Training R2=0.69; test MAE=0.74; test MSE=1.59; test MAPE=0.58; test MedAE=0.38","The current-month Random Forest model had the highest test R2 among current-month algorithms.","Abstract; Table 2; Results and Discussion","https://doi.org/10.1016/j.scitotenv.2023.169253","For conservative plotting, the test R2 from Table 2 is used; the abstract reports headline R2=0.69."
"B7","B. Forecasting, regression, and image-prediction performance","Tang et al. 2022","Lake Okeechobee, Florida","Microcystis/cyanobacterial index HAB prediction","ConvLSTM deep-learning model with multisource data fusion","Remote sensing imagery + physics-based simulation model outputs; hybrid training data","Single day","SSIM",96.92,"Remote-sensing test with hybrid training: RMSE=0.0079; PSNR=48.4578; FSIM=0.4515; SRE=59.6935","Hybrid data fusion improved ConvLSTM agreement with remote-sensing ground truth for single-day HAB prediction.","Table I","https://doi.org/10.1109/JSTARS.2022.3208620","SSIM is a structural image-similarity metric; it is not directly comparable to F1 or R2 but is useful as prediction-quality evidence."
